"Geography Type","Year","Geography","Population - Total","Population - Age 0-17","Population - Age 18-29","Population - Age 30-39","Population - Age 40-49","Population - Age 50-59","Population - Age 60-69","Population - Age 70-79","Population - Age 80+","Population - Age 0-4","Population - Age 5-11","Population - Age 12-17","Population - Age 5+","Population - Age 18+","Population - Age 65+","Population - Female","Population - Male","Population - Latinx","Population - Asian Non-Latinx","Population - Black Non-Latinx","Population - White Non-Latinx","Population - Other Race Non-Latinx","Record ID"
"ZIP Code","2018","60661","9,926","683","3,772","3,229","1,227","623","369","23","0","447",,,"9,479","9,243","217","4,817","5,109","640",,,"5,091",,"ZIP_Code-60661-2018"
"ZIP Code","2018","60666","0","0","0","0","0","0","0","0","0","0",,,"0","0","0","0","0","0",,,"0",,"ZIP_Code-60666-2018"
"ZIP Code","2018","60707","43,019","9,285","6,546","5,958","5,818","6,006","5,111","2,582","1,713","2,292",,,"40,727","33,734","6,745","22,267","20,752","16,505",,,"20,677",,"ZIP_Code-60707-2018"
"ZIP Code","2018","60827","28,577","8,345","4,822","3,415","3,957","3,569","2,879","1,196","394","2,591",,,"25,986","20,232","2,763","15,666","12,911","1,222",,,"760",,"ZIP_Code-60827-2018"
"Citywide","2019","Chicago","2,693,959","555,424","526,788","469,300","340,219","294,864","261,009","157,790","88,565","162,797","210,448","180,859","2,531,162","2,138,535","362,629","1,382,528","1,311,431","776,290","184,768","768,524","901,941","62,436","Citywide-Chicago-2019"
"ZIP Code","2019","60601","15,083","880","5,207","2,796","2,090","970","1,733","1,154","253","426","237","199","14,657","14,203","2,109","8,054","7,029","1,224","2,859","638","9,939","423","ZIP_Code-60601-2019"
"ZIP Code","2019","60602","1,145","149","207","527","180","66","16","0","0","56","91","0","1,089","996","6","506","639","74","245","49","680","97","ZIP_Code-60602-2019"
"ZIP Code","2019","60603","1,052","16","498","131","76","174","85","72","0","5","0","11","1,047","1,036","120","529","523","34","337","34","640","7","ZIP_Code-60603-2019"
"ZIP Code","2019","60604","823","36","325","159","55","91","103","45","9","10","7","19","813","787","72","431","392","28","240","41","514","0","ZIP_Code-60604-2019"
"ZIP Code","2019","60605","29,060","2,411","8,519","7,270","3,621","3,180","2,165","1,445","449","1,047","966","390","28,013","26,649","2,923","15,928","13,132","2,185","4,377","4,270","16,865","1,363","ZIP_Code-60605-2019"
"ZIP Code","2019","60606","3,287","119","660","1,096","483","342","479","108","0","75","44","0","3,212","3,168","378","1,606","1,681","188","667","58","2,206","168","ZIP_Code-60606-2019"
"ZIP Code","2019","60607","29,293","3,141","11,280","7,216","3,107","2,154","1,403","651","341","1,317","1,257","542","27,976","26,152","1,544","14,563","14,730","2,151","6,304","4,168","15,719","951","ZIP_Code-60607-2019"
"ZIP Code","2019","60608","80,059","14,812","20,455","14,507","10,292","8,176","6,705","3,266","1,846","4,318","6,021","4,449","75,741","65,247","7,939","35,599","44,460","38,984","9,914","13,326","16,955","880","ZIP_Code-60608-2019"
"ZIP Code","2019","60609","60,939","15,773","12,444","8,167","7,597","6,735","5,442","3,723","1,058","4,648","6,112","4,998","56,291","45,166","7,373","30,782","30,157","32,291","3,792","15,015","9,232","609","ZIP_Code-60609-2019"
"ZIP Code","2019","60610","40,548","3,716","11,990","9,127","3,566","3,454","4,325","3,148","1,222","1,670","997","1,041","38,878","36,832","6,537","21,529","19,019","2,526","3,532","5,880","27,468","1,142","ZIP_Code-60610-2019"
"ZIP Code","2019","60611","33,224","1,856","7,778","7,168","2,693","4,066","4,806","3,344","1,513","965","445","446","32,259","31,368","7,142","17,716","15,508","1,573","6,156","967","23,769","759","ZIP_Code-60611-2019"
"ZIP Code","2019","60612","33,735","7,837","7,330","5,921","4,020","3,695","2,842","1,363","727","2,255","2,832","2,431","31,480","25,898","3,325","17,781","15,954","4,056","1,449","19,873","7,629","728","ZIP_Code-60612-2019"
"ZIP Code","2019","60613","50,761","5,885","14,036","13,315","5,534","5,059","3,409","2,080","1,443","2,726","1,981","1,178","48,035","44,876","4,904","25,108","25,653","5,645","3,491","2,985","37,074","1,566","ZIP_Code-60613-2019"
"ZIP Code","2019","60614","71,954","10,115","24,583","14,628","7,458","5,728","5,230","2,735","1,477","3,738","3,678","2,638","68,216","61,839","6,729","35,273","36,681","4,438","5,218","3,016","57,117","2,165","ZIP_Code-60614-2019"
"ZIP Code","2019","60615","40,590","6,219","10,400","6,495","4,407","4,266","4,536","2,621","1,646","2,054","2,323","1,842","38,536","34,371","6,411","22,464","18,126","2,220","3,448","21,960","11,148","1,814","ZIP_Code-60615-2019"
"ZIP Code","2019","60616","54,197","7,829","11,557","8,634","7,107","7,319","6,256","3,243","2,252","2,095","2,782","2,923","52,102","46,368","8,636","28,388","25,809","4,569","21,379","12,694","14,418","1,137","ZIP_Code-60616-2019"
"ZIP Code","2019","60617","83,553","22,163","14,558","8,990","10,282","10,804","7,459","5,638","3,659","5,372","8,092","8,699","78,181","61,390","12,578","45,646","37,907","31,048","220","46,967","4,934","384","ZIP_Code-60617-2019"
"ZIP Code","2019","60618","94,907","20,662","16,885","20,317","14,662","9,723","6,847","3,814","1,997","6,642","8,411","5,570","88,265","74,245","8,699","47,171","47,736","38,208","5,757","2,408","45,593","2,941","ZIP_Code-60618-2019"
"ZIP Code","2019","60619","61,207","12,737","9,612","7,647","6,791","9,186","8,006","4,051","3,177","3,861","4,870","4,002","57,346","48,470","10,458","33,573","27,634","804","145","58,412","903","943","ZIP_Code-60619-2019"
"ZIP Code","2019","60620","67,711","15,359","10,807","7,456","8,139","9,801","7,622","5,110","3,417","3,914","5,860","5,585","63,797","52,352","11,975","37,282","30,429","1,246","276","64,588","847","754","ZIP_Code-60620-2019"
"ZIP Code","2019","60621","28,018","7,506","4,822","3,148","2,806","3,819","3,002","1,793","1,122","2,387","2,964","2,151","25,631","20,512","3,969","14,898","13,120","891","68","26,517","289","253","ZIP_Code-60621-2019"
"ZIP Code","2019","60622","53,294","7,684","14,300","15,850","6,692","3,993","2,626","1,236","913","3,536","2,437","1,708","49,758","45,610","3,275","25,366","27,928","12,207","2,335","3,150","34,207","1,395","ZIP_Code-60622-2019"
"ZIP Code","2019","60623","81,283","23,403","15,040","12,147","9,672","8,570","6,534","4,516","1,401","6,073","9,735","7,595","75,210","57,880","8,645","41,033","40,250","54,297","80","24,101","2,366","439","ZIP_Code-60623-2019"
"ZIP Code","2019","60624","34,892","10,189","6,449","4,158","4,122","3,967","3,369","1,585","1,053","2,839","4,268","3,074","32,053","24,703","4,038","18,344","16,548","1,773","53","31,436","1,109","521","ZIP_Code-60624-2019"
"ZIP Code","2019","60625","79,444","15,998","14,847","17,078","11,236","8,505","6,608","3,005","2,167","5,762","5,896","4,285","73,682","63,446","8,057","40,178","39,266","25,483","10,658","3,599","36,289","3,415","ZIP_Code-60625-2019"
"ZIP Code","2019","60626","50,544","8,949","12,083","9,436","6,774","5,958","3,966","1,959","1,419","2,851","3,615","2,397","47,693","41,595","4,957","25,646","24,898","9,906","2,712","13,410","22,592","1,924","ZIP_Code-60626-2019"
"ZIP Code","2019","60628","64,254","14,482","11,307","7,139","7,957","8,359","7,303","4,771","2,936","3,945","5,447","5,085","60,309","49,772","11,046","34,294","29,960","2,267","135","59,478","1,333","1,041","ZIP_Code-60628-2019"
"ZIP Code","2019","60629","110,029","31,655","21,216","15,007","14,724","11,187","8,119","6,041","2,080","8,901","11,658","11,095","101,128","78,374","11,593","56,206","53,823","78,826","582","21,116","8,463","1,042","ZIP_Code-60629-2019"
"ZIP Code","2019","60630","56,433","11,266","7,717","8,800","7,969","8,263","6,654","3,340","2,424","3,111","4,526","3,621","53,322","45,167","8,687","28,985","27,448","16,066","6,177","831","31,403","1,956","ZIP_Code-60630-2019"
"ZIP Code","2019","60631","29,529","5,864","3,630","4,016","3,914","4,447","3,717","1,794","2,147","2,066","2,248","1,550","27,463","23,665","5,573","15,197","14,332","3,500","1,031","269","23,763","966","ZIP_Code-60631-2019"
